browser,shell,route,theme,breakpoint,width,height,result,contrast,interactiveContrast,overflow_px,scrollable,reason,evidence
chromium,marketing,/compare,brutal,tablet,768,1024,PASS,17.51,1.2,0,False,,docs/audits/evidence/chromium/tablet/brutal/marketing-compare.png
chromium,marketing,/compare,copilot,desktop,1280,800,PASS,16.67,6.15,0,False,,docs/audits/evidence/chromium/desktop/copilot/marketing-compare.png
chromium,marketing,/compare,copilot,mobile-s,375,667,PASS,16.67,6.15,0,False,,docs/audits/evidence/chromium/mobile-s/copilot/marketing-compare.png
chromium,marketing,/compare,copilot,tablet,768,1024,PASS,16.67,6.15,0,False,,docs/audits/evidence/chromium/tablet/copilot/marketing-compare.png
chromium,marketing,/compare,cyber,desktop,1280,800,PASS,20.67,1,0,False,,docs/audits/evidence/chromium/desktop/cyber/marketing-compare.png
chromium,marketing,/compare,cyber,mobile-s,375,667,PASS,20.67,1,0,False,,docs/audits/evidence/chromium/mobile-s/cyber/marketing-compare.png
chromium,marketing,/compare,cyber,tablet,768,1024,PASS,20.67,1,0,False,,docs/audits/evidence/chromium/tablet/cyber/marketing-compare.png
chromium,marketing,/compare,earthy,desktop,1280,800,PASS,12.17,6.08,0,False,,docs/audits/evidence/chromium/desktop/earthy/marketing-compare.png
chromium,marketing,/compare,earthy,mobile-s,375,667,PASS,12.17,6.08,0,False,,docs/audits/evidence/chromium/mobile-s/earthy/marketing-compare.png
chromium,marketing,/compare,earthy,tablet,768,1024,PASS,12.17,6.08,0,False,,docs/audits/evidence/chromium/tablet/earthy/marketing-compare.png
chromium,marketing,/compare,glass,desktop,1280,800,PASS,18.56,1,0,False,,docs/audits/evidence/chromium/desktop/glass/marketing-compare.png
chromium,marketing,/compare,glass,mobile-s,375,667,PASS,18.56,1,0,False,,docs/audits/evidence/chromium/mobile-s/glass/marketing-compare.png
chromium,marketing,/compare,glass,tablet,768,1024,PASS,18.56,1,0,False,,docs/audits/evidence/chromium/tablet/glass/marketing-compare.png
